obs_index,t_plus_1,pop_num,phor_type,R,mu,mu_intercept,mu_adult,mu_flower,frac_intercept,frac_adult,frac_flower
56,8,243,occ,0,1.2349474968125078,0.2327550322753508,0.705687306136328,0.2965051578375019,0.1884736257015857,0.5714310186933128,0.2400953551489468
57,9,243,occ,0,1.3172045257900002,0.2327550322753508,0.7145377556644336,0.369911737705301,0.17670379027566335,0.5424653056334481,0.28083090398087157
58,10,243,occ,4,1.240937498446249,0.2327550322753508,0.7081858302353459,0.2999966360051732,0.18756386406791506,0.5706861394083506,0.24174999657983784
59,11,243,occ,0,1.2680424149087528,0.2327550322753508,0.7143086597186761,0.32097872337987043,0.18355461105936244,0.56331606208147,0.2531293272259886
60,12,243,occ,0,1.3032784067937488,0.2327550322753508,0.6807396316158788,0.3897837429792383,0.17859195016355825,0.522328635284149,0.29907941461115894
61,3,250,occ,0,0.9005550934200013,0.2327550322753508,0.46554392864092536,0.2022561325142587,0.25845729370251685,0.5169521909791751,0.2245905153300048
62,4,250,occ,0,1.198755306810001,0.2327550322753508,0.6841527062874603,0.2818475685882282,0.19416392232267443,0.5707192305225777,0.23511684743924155
63,5,250,occ,8,1.3219754287987484,0.2327550322753508,0.7020630010224232,0.38715739537901056,0.17606608050714714,0.5310711422680324,0.2928627771325617
64,6,250,occ,4,1.2675676474137485,0.2327550322753508,0.7143086597186761,0.3205039559174648,0.18362336144366495,0.5635270521270394,0.2528495868219715
65,7,250,occ,0,1.2445628807412448,0.2327550322753508,0.7898389710898629,0.22196887740393692,0.1870174949591338,0.6346316311631001,0.17835087390018836
66,8,250,occ,0,1.3106757689287492,0.2327550322753508,0.851274823499711,0.22664591286863456,0.17758398971973655,0.6494930658521908,0.17292294421058718
67,9,250,occ,0,1.3655697061474958,0.2327550322753508,0.9542353026022086,0.17857937082398168,0.17044536886512537,0.6987818331839453,0.13077279762435887
68,10,250,occ,0,1.3547809656474998,0.2327550322753508,0.9730422830455511,0.14898365082370427,0.17180270329832142,0.7182284869056292,0.10996881016297677
69,11,250,occ,0,1.3936262047499952,0.2327550322753508,0.9918689623962786,0.16900221000711343,0.16701396076080896,0.7117180769245162,0.12126796226354757
70,12,250,occ,0,1.2786486807949984,0.2327550322753508,0.9124852489674375,0.13340839910695204,0.18203204349347596,0.7136324955187072,0.10433546063959141
71,3,255,occ,4,0.2327550322753508,0.2327550322753508,0,0,1,0,0
72,4,255,occ,0,0.5609485514562509,0.2327550322753508,0.07553031171685075,0.25266320763588396,0.41493115842996103,0.13464748508712648,0.4504213567892411
73,5,255,occ,7,0.6416845531249991,0.2327550322753508,0.14535842139343946,0.2635710995463628,0.3627250042748193,0.22652629034865343,0.41074870551702314
74,6,255,occ,0,0.8098855594600023,0.2327550322753508,0.21225134901192516,0.3648791779371559,0.2873924958367477,0.26207572975303506,0.45053177411934847
75,7,255,occ,0,0.7530835358525004,0.2327550322753508,0.20771249352095011,0.31261601013542906,0.30906934117457374,0.27581600663439926,0.41511465229623384
76,8,255,occ,0,0.9426334632000007,0.2327550322753508,0.20431728455880274,0.5055611462299063,0.246919976175264,0.216751571565471,0.5363284521150511
77,9,255,occ,0,0.8608642576037516,0.2327550322753508,0.2147498730147066,0.4133593524339344,0.2703736741530346,0.24945846121253895,0.48016786477410023
78,10,255,occ,0,0.7897450019737533,0.2327550322753508,0.2242679110143405,0.33272205896378826,0.29472175410245427,0.28397509380096575,0.42130315245077815
79,11,255,occ,0,0.668483552997497,0.2327550322753508,0.19705080892760918,0.23867771167298135,0.34818363328711893,0.2947728602207615,0.3570435063102817
80,12,255,occ,0,0.7689288769550001,0.2327550322753508,0.16735304824047198,0.36882079650765853,0.30270033972072075,0.21764437941672718,0.4796552809516126
81,3,266,occ,0,0.2327550322753508,0.2327550322753508,0,0,1,0,0
82,4,266,occ,0,0.2327550322753508,0.2327550322753508,0,0,1,0,0
83,5,266,occ,0,0.2327550322753508,0.2327550322753508,0,0,1,0,0
84,6,266,occ,0,0.2327550322753508,0.2327550322753508,0,0,1,0,0
85,7,266,occ,0,0.2327550322753508,0.2327550322753508,0,0,1,0,0
86,8,266,occ,0,0.2327550322753508,0.2327550322753508,0,0,1,0,0
87,9,266,occ,0,0.2327550322753508,0.2327550322753508,0,0,1,0,0
88,10,266,occ,13,0.4496369988190015,0.2327550322753508,0.041961284301289765,0.17492068222337945,0.5176509782039641,0.09332257890588094,0.3890264428479398
89,11,266,occ,1,0.49630553094125157,0.2327550322753508,0.10499897611575942,0.15855152256206723,0.46897529397652904,0.21156116458470076,0.3194635414627995
90,12,266,occ,0,0.5364182796487507,0.2327550322753508,0.16758031005147173,0.13608293744480082,0.4339058550125472,0.31240603911038256,0.2536881061061316
91,3,268,occ,0,0.7465148468337514,0.2327550322753508,0.36374863067507923,0.1500111839423884,0.3117888857302061,0.4872624197869248,0.2009486945619929
92,4,268,occ,0,0.9918972886974972,0.2327550322753508,0.5784824723868414,0.1806597836921565,0.23465638522007798,0.5832080387541653,0.1821355756798051
93,5,268,occ,2,1.2232516083562535,0.2327550322753508,0.6778007808906805,0.312695795192542,0.19027568055938696,0.554097600412295,0.2556267190302145
94,6,268,occ,0,1.2145630139225003,0.2327550322753508,0.7249703440176457,0.2568376377059557,0.19163685177902395,0.5968980906773316,0.21146505760659048
95,7,268,occ,0,1.0316157170737519,0.2327550322753508,0.6757425839351894,0.12311810118164586,0.2256218361383406,0.6550332383961531,0.11934492577418142
96,8,268,occ,0,0.9866767804325005,0.2327550322753508,0.6324461224092208,0.12147562612494107,0.23589795249192427,0.6409861212422512,0.12311592664792757
97,9,268,occ,0,0.9587467734275019,0.2327550322753508,0.6111387839737464,0.11485295708752462,0.24277008145045004,0.6374350359364827,0.11979488251827689
98,10,268,occ,0,0.8402966152523784,0.2327550322753508,0.5530605746988644,0.054481008285632126,0.2769915147229816,0.658173036354259,0.06483544893164786
99,11,268,occ,0,0.8147919501112544,0.2327550322753508,0.49933152470243897,0.08270539361169428,0.28566191927101103,0.6128331589852583,0.10150492233066541
100,12,268,occ,0,0.8715076227287512,0.2327550322753508,0.4685061483570393,0.17024644208094522,0.2670717113713573,0.5375812398405809,0.19534704877037304
101,3,274,emp,0,0.5131495515887511,0.2327550322753508,0.05714395900928399,0.2232505603718705,0.4535812835745896,0.11135926911046075,0.4350594474469856
